Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
banana,481,466,584000,,,,11:11:19.056556
banana,483,467,591000,,,,11:11:19.101902
banana,474,469,588000,,,,11:11:19.146344
banana,471,470,581000,,,,11:11:19.191388
banana,503,471,649000,,,,11:11:19.237108
banana,492,469,621000,,,,11:11:19.283272
banana,484,425,743000,,,,11:11:20.033287
banana,483,432,634000,,,,11:11:20.077032
banana,484,431,601000,,,,11:11:20.123344
banana,484,449,596000,,,,11:11:20.123772
banana,481,430,600000,,,,11:11:20.171379
banana,481,440,579000,,,,11:11:20.215793
banana,476,449,583000,,,,11:11:20.263430
banana,475,451,577000,,,,11:11:20.306234
banana,475,445,579000,,,,11:11:20.350305
banana,479,445,580000,,,,11:11:20.401920
banana,486,439,568000,,,,11:11:20.446812
banana,486,438,582000,,,,11:11:20.491862
banana,485,440,587000,,,,11:11:20.537284
banana,485,445,593000,,,,11:11:20.583711
banana,488,443,577000,,,,11:11:20.630883
banana,484,447,548500,,,,11:11:20.675192
banana,480,444,560000,,,,11:11:20.718147
banana,435,495,534000,,,,11:11:20.804127
banana,418,530,526500,,,,11:11:20.849673
banana,337,617,515000,,,,11:11:20.936326
banana,124,683,500500,,,,11:11:20.981103
pomaranca,233,193,511000,,,,11:11:20.981390
pomaranca,234,193,509000,,,,11:11:21.027851
pomaranca,624,264,3035000,,,,11:11:23.699960
pomaranca,946,230,1090500,,,,11:11:24.276863
pomaranca,947,259,1259000,,,,11:11:24.277248
pomaranca,897,229,498000,,,,11:11:24.414135
pomaranca,914,122,1404000,,,,11:11:25.775061
banana,913,124,1404000,,,,11:11:25.775709
pomaranca,909,116,1176000,,,,11:11:25.959507
pomaranca,901,116,1190000,,,,11:11:26.137967
pomaranca,401,206,490000,,,,11:11:26.138388
pomaranca,368,207,513000,,,,11:11:26.184932
pomaranca,335,203,555000,,,,11:11:26.230943
limona,142,347,572000,,,,11:11:26.973857
pomaranca,142,343,551000,,,,11:11:26.974276
pomaranca,934,147,1231000,,,,11:11:27.019310
pomaranca,952,183,1196000,,,,11:11:27.063388
pomaranca,954,196,1180500,,,,11:11:27.110402
pomaranca,957,215,1783000,,,,11:11:27.157483
pomaranca,959,228,1224000,,,,11:11:27.201929
pomaranca,961,249,1215000,,,,11:11:27.293026
pomaranca,947,257,1298000,,,,11:11:27.683645
pomaranca,954,254,1221000,,,,11:11:27.772078
pomaranca,956,253,1252000,,,,11:11:27.819336
pomaranca,377,297,644000,,,,11:11:27.819669
pomaranca,955,233,1129000,,,,11:11:27.865404
pomaranca,961,255,1299000,,,,11:11:27.910532
pomaranca,396,327,658000,,,,11:11:27.910980
pomaranca,961,257,1240000,,,,11:11:27.995378
pomaranca,961,260,1220000,,,,11:11:28.874991
pomaranca,962,260,1230000,,,,11:11:28.927411
pomaranca,962,261,1212000,,,,11:11:28.973657
pomaranca,473,444,588000,,,,11:11:29.021165
pomaranca,962,261,1348000,,,,11:11:29.066946
pomaranca,471,459,584000,,,,11:11:29.157942
pomaranca,963,262,2736000,,,,11:11:29.250134
pomaranca,467,460,586000,,,,11:11:29.297581
pomaranca,465,459,579000,,,,11:11:29.344962
pomaranca,961,262,1198000,,,,11:11:29.642987
pomaranca,959,248,1269500,,,,11:11:30.577534
pomaranca,453,472,628000,,,,11:11:30.577962
pomaranca,959,245,1256000,,,,11:11:30.624360
pomaranca,453,475,612000,,,,11:11:30.624746
